City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Roald,NO,2021-06-04 00:55:35,62.5833,6.1333,61.09,82,73,8.05
228,Tulun,RU,2021-06-04 00:55:36,54.5611,100.5792,67.33,50,100,6.78
229,Hay River,CA,2021-06-04 00:55:36,60.8156,-115.7999,58.98,88,75,9.22
230,Muravlenko,RU,2021-06-04 00:55:37,63.7898,74.523,37.76,62,19,13.33
231,Aljezur,PT,2021-06-04 00:55:37,37.3191,-8.8033,54.59,75,0,14.85
232,Rezina,MD,2021-06-04 00:55:38,47.7492,28.9622,50.81,90,90,8.14
233,Ahipara,NZ,2021-06-04 00:55:38,-35.1667,173.1667,62.37,55,5,3.89
234,Hasaki,JP,2021-06-04 00:55:38,35.7333,140.8333,72.28,86,100,28.23
235,Bereda,ES,2021-06-04 00:55:39,43.2686,-7.5406,45.91,100,22,2.28
236,Port Lincoln,AU,2021-06-04 00:50:49,-34.7333,135.8667,60.19,64,29,9.26
237,Jishou,CN,2021-06-04 00:55:39,28.3167,109.7167,68.5,82,95,1.36
238,Ust-Karsk,RU,2021-06-04 00:55:39,52.7011,118.8077,62.1,63,91,6.13
239,Shaoyang,CN,2021-06-04 00:55:40,27.2315,111.4525,67.62,78,100,3.09
240,Sioux Lookout,CA,2021-06-04 00:53:16,50.1001,-91.917,80.98,38,75,8.05
241,Motema,SL,2021-06-04 00:55:40,8.6,-11.0333,72.18,99,100,1.21
242,Tootsi,EE,2021-06-04 00:55:40,58.5781,24.7925,56.79,64,100,2.89
243,Abu Dhabi,AE,2021-06-04 00:55:41,24.4667,54.3667,86.02,84,0,6.02
244,Gobabis,NA,2021-06-04 00:55:41,-22.45,18.9667,45.82,65,0,9.69
245,Limoeiro Do Ajuru,BR,2021-06-04 00:55:41,-1.8953,-49.3806,76.39,91,29,5.75
246,Garca,BR,2021-06-04 00:55:42,-22.2106,-49.6561,72.59,62,0,5.66
247,Quesnel,CA,2021-06-04 00:55:42,52.9999,-122.5029,75.7,33,20,0.0
248,Dinajpur,BD,2021-06-04 00:55:42,25.6272,88.6386,87.08,60,2,3.83
249,Pangody,RU,2021-06-04 00:55:43,65.85,74.4859,38.17,61,75,12.17
250,Nelson Bay,AU,2021-06-04 00:55:43,-32.7167,152.15,65.75,71,0,3.0
251,Atar,MR,2021-06-04 00:55:43,20.5169,-13.0499,89.96,27,99,17.58
252,Yaan,NG,2021-06-04 00:55:44,7.3833,8.5667,71.08,96,100,14.74
253,Oistins,BB,2021-06-04 00:55:44,13.0667,-59.5333,80.69,65,40,19.57
254,Buwenge,UG,2021-06-04 00:55:44,0.6422,33.1744,63.34,93,100,0.65
255,San Vicente,AR,2021-06-04 00:55:45,-26.6167,-54.1333,63.46,85,41,2.82
256,Sechura,PE,2021-06-04 00:53:41,-5.5569,-80.8222,69.73,73,13,15.12
257,Homnabad,IN,2021-06-04 00:55:45,17.7667,77.1333,76.14,75,100,4.45
258,Mattawa,US,2021-06-04 00:55:45,46.7379,-119.9028,97.32,20,0,15.01
259,Teodoro Sampaio,BR,2021-06-04 00:55:46,-22.5325,-52.1675,68.14,73,0,4.52
260,Borohradek,CZ,2021-06-04 00:55:46,50.0978,16.0933,59.31,79,97,4.25
261,Coaldale,CA,2021-06-04 00:55:46,49.7167,-112.6185,92.71,22,20,17.07
262,Esperance,AU,2021-06-04 00:55:47,-33.8667,121.9,55.24,72,0,12.06
263,Kysyl-Syr,RU,2021-06-04 00:55:47,63.8986,122.7617,79.88,31,59,7.36
264,Beringovskiy,RU,2021-06-04 00:55:47,63.05,179.3167,35.47,86,80,5.91
265,Mahalapye,BW,2021-06-04 00:55:06,-23.1041,26.8142,48.96,58,0,5.75
266,Endirey,RU,2021-06-04 00:55:47,43.1632,46.654,60.55,72,98,2.66
267,Talaya,RU,2021-06-04 00:55:48,61.3833,152.75,41.23,95,100,0.49
268,Talnakh,RU,2021-06-04 00:55:48,69.4865,88.3972,33.28,100,100,4.52
269,Marawi,PH,2021-06-04 00:53:59,7.9986,124.2928,81.64,69,100,1.45
270,Garowe,SO,2021-06-04 00:55:48,8.4054,48.4845,77.97,64,100,18.9
271,Kauhajoki,FI,2021-06-04 00:55:49,62.4333,22.1833,52.77,77,70,2.42
272,Cabedelo,BR,2021-06-04 00:55:49,-6.9811,-34.8339,75.87,79,27,9.24
273,Faanui,PF,2021-06-04 00:51:46,-16.4833,-151.75,81.27,73,46,10.29
274,Podyuga,RU,2021-06-04 00:55:49,61.095,40.8647,47.7,79,10,2.57
275,Sabzevar,IR,2021-06-04 00:55:49,36.2126,57.6819,83.79,16,0,7.34
