City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
295,Sibu,MY,2.3,111.8167,75.51,94,40,5.01,scattered clouds
296,Victoria,HK,22.2855,114.1577,82.45,88,41,1.99,scattered clouds
297,Jatara,IN,25.0167,79.05,90.73,40,28,11.83,scattered clouds
298,Erenhot,CN,43.6475,111.9767,67.68,34,79,7.36,broken clouds
299,Sechura,PE,-5.5569,-80.8222,74.7,63,96,15.1,overcast clouds
300,Khromtau,KZ,50.2503,58.4347,59.56,35,100,6.76,overcast clouds
301,Walvis Bay,NA,-22.9575,14.5053,77.09,23,0,6.58,clear sky
302,Rabo De Peixe,PT,37.8,-25.5833,63.91,88,20,4.12,few clouds
303,Ixtapa,MX,20.7,-105.2,87.03,66,40,13.8,scattered clouds
304,Andenes,NO,69.3143,16.1194,55.47,66,75,3.44,broken clouds
305,Puerto Leguizamo,CO,-0.1934,-74.7819,77.32,94,85,1.79,overcast clouds
306,Tongliao,CN,43.6125,122.2653,66.47,49,9,6.26,clear sky
307,Hidalgo,MX,20.5,-99.0,79.47,31,95,14.45,overcast clouds
308,Kristianstad,SE,56.0313,14.1524,64.54,59,13,6.76,few clouds
309,Coihaique,CL,-45.5752,-72.0662,45.21,76,75,6.91,light rain
310,Bikin,RU,46.8161,134.26,61.02,68,22,3.22,few clouds
311,Vao,NC,-22.6667,167.4833,70.03,67,100,16.91,overcast clouds
312,Kasama,ZM,-10.2129,31.1808,60.85,61,100,7.31,overcast clouds
313,Taganak,PH,6.0833,118.3,77.14,73,100,3.71,overcast clouds
314,Miandrivazo,MG,-19.5167,45.4667,70.0,68,42,5.88,scattered clouds
315,Murgab,TM,37.4966,61.9714,82.27,36,1,9.13,clear sky
316,Petropavl,KZ,54.8753,69.1628,54.72,54,8,6.71,clear sky
317,Camapua,BR,-19.5314,-54.0439,76.73,40,12,4.09,few clouds
318,Rio Gallegos,AR,-51.6226,-69.2181,41.05,70,0,10.36,clear sky
319,Fairbanks,US,64.8378,-147.7164,72.61,38,40,0.0,scattered clouds
320,Machali,CL,-34.1833,-70.6667,51.08,82,90,2.64,haze
