City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
545,Tutoia,BR,79.27,scattered clouds,-2.7619,-42.2744,Pousada Guará's
549,Luba,GQ,76.89,overcast clouds,3.4568,8.5547, 
551,Findlay,US,89.22,scattered clouds,41.0442,-83.6499,Drury Inn & Suites Findlay
553,Tual,ID,81.27,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
554,Mogadishu,SO,78.91,scattered clouds,2.0371,45.3438,Hotel Juba
565,Pathein,MM,83.17,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
566,Shahr-E Babak,IR,81.32,scattered clouds,30.1165,55.1186,Duna Ecolodge
567,Soyo,AO,75.69,few clouds,-6.1349,12.3689,Hotel Mpampa
575,Toccoa,US,88.05,clear sky,34.5773,-83.3324,Quality Inn
577,Tonj,SS,75.45,few clouds,7.2737,28.6822, 
578,Kudat,MY,75.29,few clouds,6.8837,116.8477,Dream Garden Hotel
579,Mahibadhoo,MV,82.98,broken clouds,3.7833,72.9667,Omadhoo Inn
584,Tabuk,PH,75.33,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
585,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
586,Dingle,PH,76.44,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
588,Adre,TD,83.7,overcast clouds,13.4667,22.2, 
591,Qiongshan,CN,78.78,clear sky,20.0058,110.3542,Sun City Restaurant
592,Samarai,PG,78.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
593,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
597,Salinopolis,BR,78.15,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
598,Akdepe,TM,80.69,clear sky,42.0551,59.3788,Мой дом
599,Kimbe,PG,78.58,light rain,-5.5502,150.1429,Kimbe Bay Hotel
600,Tubuala,PA,84.31,broken clouds,9.5167,-79.0333,Río Nabagana
601,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
617,Meghraj,IN,84.16,few clouds,23.5,73.5,Arvalli Society meghraj
